id,pais,nivel_educacional,anos_exp_pro,tipo_dev,linguagens,linguagens_desejadas,bancos,plataformas,modelo_trabalho,tamanho_empresa,satisfacao,salario_anual_usd,faixa_etaria,tipo_emprego,cargo_ic_ou_gestao,grupo_exp,linguagem_principal,satisfacao_label,satisfacao_score,faixa_salarial
19825,Republic of North Macedonia,Ensino Médio,25.0,"Developer, back-end",Go;HTML/CSS;JavaScript;PHP;Python;SQL,Go,Elasticsearch;MariaDB;MySQL;Neo4J;PostgreSQL;Redis;SQLite;Supabase,Cloudflare;Supabase;VMware;Vultr,,,,,45-54 years old,"Not employed, but looking for work",,20+ anos,Go,,,
19826,Montenegro,Graduação,15.0,Blockchain,Rust,Rust,,Amazon Web Services (AWS);Digital Ocean,Remoto,100 to 499 employees,10.0,150369.0,35-44 years old,"Employed, full-time;Independent contractor, freelancer, or self-employed",People manager,10–19 anos,Rust,10.0,,> 150k
19827,Lebanon,Mestrado,24.0,"Developer, full-stack",C#;HTML/CSS;JavaScript;SQL;TypeScript;Visual Basic (.Net),C#;HTML/CSS;JavaScript;SQL;TypeScript,Microsoft SQL Server,,Presencial,20 to 99 employees,8.0,,45-54 years old,"Employed, full-time",People manager,20+ anos,C#,8.0,,
19828,China,Mestrado,17.0,Research & Development role,Assembly;Bash/Shell (all shells);C;C++;Go;OCaml;Prolog;Python;Rust,Assembly;C;Cobol;Go;Haskell;Lua;OCaml;Prolog;Rust;Zig,MariaDB;MySQL;PostgreSQL;SQLite,Alibaba Cloud;Amazon Web Services (AWS);Google Cloud;Managed Hosting,Presencial,"1,000 to 4,999 employees",0.0,275950.0,35-44 years old,"Employed, full-time",Individual contributor,10–19 anos,Assembly,0.0,,> 150k
19829,Ukraine,Mestrado,16.0,"Developer, embedded applications or devices",C;Python,C;Python;Rust,SQLite,,Remoto,100 to 499 employees,,,35-44 years old,"Independent contractor, freelancer, or self-employed",,10–19 anos,C,,,
19830,India,Mestrado,17.0,Project manager,C;C++;Cobol;HTML/CSS;JavaScript;PHP;SQL,Go;Python,MySQL;PostgreSQL,Cloudflare,Presencial,100 to 499 employees,8.0,14356.0,35-44 years old,"Employed, full-time",People manager,10–19 anos,C,8.0,,< 30k
19831,India,Graduação,1.0,"Developer, back-end",HTML/CSS;JavaScript;TypeScript,Go;Rust,Cockroachdb;Cosmos DB;MongoDB;MySQL;PostgreSQL,Microsoft Azure,Remoto,,6.0,,18-24 years old,"Employed, full-time",Individual contributor,0–1 ano,HTML/CSS,6.0,,
19832,Nepal,Graduação,7.0,"Developer, front-end",Assembly;Bash/Shell (all shells);C;C#;C++;Dart;F#;GDScript;HTML/CSS;Java;JavaScript;Kotlin;Lua;PHP;PowerShell;Python;SQL;TypeScript;Visual Basic (.Net),GDScript;Go;HTML/CSS;JavaScript;Lua;PHP;PowerShell;Rust;SQL;TypeScript,Firebird;MariaDB;Microsoft SQL Server;MongoDB;MySQL;Oracle;PostgreSQL;SQLite,Cloudflare;Firebase;Google Cloud;Microsoft Azure;Netlify;Oracle Cloud Infrastructure (OCI);Vercel,Remoto,10 to 19 employees,6.0,3675.0,25-34 years old,"Employed, full-time;Independent contractor, freelancer, or self-employed;Employed, part-time",Individual contributor,5–9 anos,Assembly,6.0,,< 30k
19833,India,Graduação,2.0,"Developer, full-stack",HTML/CSS;Java;JavaScript;TypeScript,HTML/CSS;Java;JavaScript;TypeScript,MongoDB;MySQL;PostgreSQL,,Híbrido,"10,000 or more employees",8.0,,25-34 years old,"Employed, full-time",Individual contributor,2–4 anos,HTML/CSS,8.0,,
19834,Australia,Graduação,6.0,"Senior Executive (C-Suite, VP, etc.)",Bash/Shell (all shells);JavaScript;Lua;SQL;TypeScript,Bash/Shell (all shells);JavaScript;Lua;Rust;TypeScript,PostgreSQL,Amazon Web Services (AWS),Remoto,10 to 19 employees,5.0,,25-34 years old,"Employed, full-time",People manager,5–9 anos,Bash/Shell (all shells),5.0,,
19835,Uzbekistan,Graduação,1.0,"Developer, front-end",HTML/CSS;JavaScript;PHP;TypeScript,HTML/CSS;TypeScript,PostgreSQL,Microsoft Azure,Remoto,2 to 9 employees,,10756.0,18-24 years old,"Employed, part-time",,0–1 ano,HTML/CSS,,,< 30k
19836,Denmark,Faculdade incompleta,41.0,"Developer, full-stack",C#;HTML/CSS;TypeScript,C#;HTML/CSS;TypeScript,Cosmos DB;Microsoft SQL Server,Microsoft Azure,Híbrido,100 to 499 employees,,144002.0,55-64 years old,"Employed, full-time",,20+ anos,C#,,,100k – 150k
19837,Nigeria,Graduação,3.0,Student,HTML/CSS;JavaScript;TypeScript,HTML/CSS;TypeScript,MongoDB;Supabase,Netlify;Render;Supabase;Vercel,,,,,18-24 years old,"Not employed, but looking for work",,2–4 anos,HTML/CSS,,,
19838,United States of America,Graduação,12.0,"Developer, back-end",Java;PowerShell,Java;JavaScript;PowerShell;Rust;TypeScript,MySQL;Oracle,,Híbrido,"10,000 or more employees",6.0,170000.0,35-44 years old,"Employed, full-time",Individual contributor,10–19 anos,Java,6.0,,> 150k
19839,Japan,Pós-graduação/Doutorado,7.0,"Developer, desktop or enterprise applications",Assembly;Bash/Shell (all shells);C;C++;GDScript;Haskell;HTML/CSS;JavaScript;PowerShell;Python;Rust;SQL,Assembly;Bash/Shell (all shells);Haskell;HTML/CSS;Python;Rust,,Amazon Web Services (AWS);Digital Ocean,Híbrido,2 to 9 employees,,36914.0,25-34 years old,"Employed, full-time",,5–9 anos,Assembly,,,30k – 60k
19841,Ukraine,Mestrado,8.0,"Developer, full-stack",Python;TypeScript,Python;TypeScript,PostgreSQL,Amazon Web Services (AWS),Remoto,20 to 99 employees,10.0,78000.0,25-34 years old,"Independent contractor, freelancer, or self-employed",Individual contributor,5–9 anos,Python,10.0,,60k – 100k
19842,India,Mestrado,15.0,"Developer, AI",Bash/Shell (all shells);Java;JavaScript;Python;SQL;TypeScript,Go;Java;OCaml;Rust;TypeScript,Databricks SQL;Elasticsearch;MySQL;PostgreSQL;Redis,Amazon Web Services (AWS);Microsoft Azure,Remoto,"Just me - I am a freelancer, sole proprietor, etc.",,,35-44 years old,"Independent contractor, freelancer, or self-employed",,10–19 anos,Bash/Shell (all shells),,,
19843,India,Graduação,20.0,Other (please specify):,C#;HTML/CSS;JavaScript;PowerShell;SQL;TypeScript;Visual Basic (.Net),C#;HTML/CSS;JavaScript;PowerShell;SQL;TypeScript;Visual Basic (.Net),Cosmos DB;Databricks SQL;Elasticsearch;Microsoft SQL Server;PostgreSQL;Redis;Snowflake;SQLite,Databricks;Microsoft Azure,Presencial,100 to 499 employees,,,55-64 years old,"Employed, full-time",,20+ anos,C#,,,
19844,India,Graduação,2.0,"Developer, full-stack",Bash/Shell (all shells);HTML/CSS;Java;JavaScript;PHP;Python;Solidity;SQL;TypeScript,Bash/Shell (all shells);HTML/CSS;Java;JavaScript;PHP;Python;SQL;TypeScript,Firebase Realtime Database;MongoDB;MySQL;Redis,Amazon Web Services (AWS);Firebase;Google Cloud;Heroku;Netlify;Vercel;VMware,Híbrido,2 to 9 employees,10.0,5982.0,18-24 years old,"Employed, full-time;Independent contractor, freelancer, or self-employed",Individual contributor,2–4 anos,Bash/Shell (all shells),10.0,,< 30k
19845,Spain,Técnico/Associado,7.0,"Developer, back-end",C;C#;SQL,C#;SQL;TypeScript,Microsoft SQL Server;Redis,Microsoft Azure,Remoto,500 to 999 employees,7.0,53703.0,35-44 years old,"Employed, full-time;Student, part-time",Individual contributor,5–9 anos,C,7.0,,30k – 60k
19846,Sweden,Mestrado,4.0,"Developer, full-stack",HTML/CSS;JavaScript;PHP;TypeScript,Go;HTML/CSS;JavaScript;TypeScript,BigQuery;MySQL,Google Cloud,Híbrido,10 to 19 employees,,,35-44 years old,"Employed, full-time",,2–4 anos,HTML/CSS,,,
19847,Turkey,Faculdade incompleta,20.0,"Senior Executive (C-Suite, VP, etc.)",C#;Python;Swift,C#;Python;Swift,Microsoft SQL Server;Redis,Amazon Web Services (AWS);Microsoft Azure,Híbrido,2 to 9 employees,8.0,,45-54 years old,"Employed, full-time",People manager,20+ anos,C#,8.0,,
19848,Lithuania,Graduação,6.0,"Developer, back-end",C#;HTML/CSS;JavaScript,C#;HTML/CSS;JavaScript,IBM DB2;MySQL,Amazon Web Services (AWS);Microsoft Azure,Híbrido,"1,000 to 4,999 employees",6.0,57999.0,25-34 years old,"Employed, full-time",Individual contributor,5–9 anos,C#,6.0,,30k – 60k
19849,Italy,Graduação,5.0,"Developer, full-stack",C#;C++;Java;JavaScript;PowerShell;SQL,C#;C++;Java;JavaScript;PowerShell;SQL,Firebase Realtime Database;Microsoft SQL Server;SQLite,,Híbrido,20 to 99 employees,,37592.0,18-24 years old,"Employed, full-time;Student, part-time",,5–9 anos,C#,,,30k – 60k
19850,South Africa,Faculdade incompleta,30.0,"Developer, full-stack",C#;HTML/CSS;JavaScript;SQL;TypeScript,C#;HTML/CSS;JavaScript;SQL;TypeScript,Microsoft SQL Server;MongoDB;MySQL;SQLite,Microsoft Azure,Híbrido,20 to 99 employees,8.0,,45-54 years old,"Employed, full-time",People manager,20+ anos,C#,8.0,,
19851,Italy,Pós-graduação/Doutorado,20.0,"Developer, full-stack",C#;SQL,C#;SQL,Microsoft SQL Server;Oracle;PostgreSQL,Microsoft Azure,Híbrido,100 to 499 employees,,75184.0,45-54 years old,"Employed, full-time",,20+ anos,C#,,,60k – 100k
19852,Australia,Mestrado,19.0,Cloud infrastructure engineer,Bash/Shell (all shells);Go;Kotlin;PowerShell;Python;SQL;TypeScript,Bash/Shell (all shells);C#;Go;Julia;Kotlin;Python;Rust;SQL;TypeScript;Zig,Cosmos DB;Microsoft SQL Server;Redis,Amazon Web Services (AWS);Cloudflare;Google Cloud;Microsoft Azure,Híbrido,100 to 499 employees,7.0,118919.0,35-44 years old,"Independent contractor, freelancer, or self-employed",Individual contributor,10–19 anos,Bash/Shell (all shells),7.0,,100k – 150k
19853,India,Mestrado,20.0,Data scientist or machine learning specialist,Java;JavaScript;Python,Java;JavaScript;Python,Elasticsearch;MongoDB,Amazon Web Services (AWS);Databricks,Presencial,"10,000 or more employees",,,35-44 years old,"Employed, full-time",,20+ anos,Java,,,
19854,Turkey,Graduação,14.0,Engineering manager,C#;HTML/CSS;JavaScript;Kotlin;SQL;TypeScript,C#;HTML/CSS;JavaScript;Kotlin;SQL;TypeScript,Elasticsearch;PostgreSQL,,Presencial,10 to 19 employees,9.0,38642.0,35-44 years old,"Employed, full-time",Individual contributor,10–19 anos,C#,9.0,,30k – 60k
19855,Turkey,Graduação,11.0,"Developer, back-end",C#;Dart;Delphi;HTML/CSS;JavaScript;SQL;TypeScript,C#;Dart;HTML/CSS;JavaScript;SQL;TypeScript,Microsoft SQL Server;MySQL;Redis;SQLite,Firebase,Híbrido,2 to 9 employees,6.0,,35-44 years old,"Employed, full-time;Independent contractor, freelancer, or self-employed",Individual contributor,10–19 anos,C#,6.0,,
19856,Australia,Mestrado,37.0,Data engineer,C#;SQL;VBA,C#;SQL;VBA,Microsoft Access;Microsoft SQL Server,,Híbrido,"10,000 or more employees",7.0,132132.0,55-64 years old,"Independent contractor, freelancer, or self-employed",Individual contributor,20+ anos,C#,7.0,,100k – 150k
19857,South Africa,Mestrado,30.0,"Developer, embedded applications or devices",C;C#;Perl;Python;R;Ruby;SQL,C;C#;R;Ruby,Microsoft SQL Server;PostgreSQL,,Presencial,500 to 999 employees,,80713.0,45-54 years old,"Employed, full-time",,20+ anos,C,,,60k – 100k
19858,Viet Nam,Mestrado,,Blockchain,C#;Java;SQL,MicroPython;Python,Microsoft SQL Server,Google Cloud,Presencial,,4.0,,25-34 years old,"Employed, full-time",Individual contributor,,C#,4.0,,
19859,Sweden,Técnico/Associado,7.0,"Developer, embedded applications or devices",Bash/Shell (all shells);C++;Python,C++;Python;Rust,,,Presencial,"10,000 or more employees",5.0,61840.0,35-44 years old,"Employed, full-time",Individual contributor,5–9 anos,Bash/Shell (all shells),5.0,,60k – 100k
19860,Canada,Faculdade incompleta,1.0,Student,Haskell;JavaScript;TypeScript,Elixir;Haskell;Rust;TypeScript,Microsoft SQL Server;SQLite,Microsoft Azure,Remoto,I don’t know,,,18-24 years old,"Student, full-time;Employed, part-time",,0–1 ano,Haskell,,,
19861,Switzerland,Ensino Médio,2.0,"Developer, full-stack",HTML/CSS;Python;Swift;TypeScript,HTML/CSS;Python;Swift,MariaDB;PostgreSQL,"Linode, now Akamai",Híbrido,20 to 99 employees,6.0,83563.0,18-24 years old,"Employed, full-time;Independent contractor, freelancer, or self-employed",Individual contributor,2–4 anos,HTML/CSS,6.0,,60k – 100k
19862,India,Graduação,19.0,Project manager,C#,C#,,Microsoft Azure,Híbrido,"10,000 or more employees",3.0,65799.0,35-44 years old,"Employed, full-time",People manager,10–19 anos,C#,3.0,,60k – 100k
19863,New Zealand,Faculdade incompleta,1.0,Other (please specify):,C;C++;JavaScript;SQL,,Microsoft Access;MongoDB;MySQL,Amazon Web Services (AWS);Cloudflare;Google Cloud,Presencial,20 to 99 employees,,43020.0,18-24 years old,"Employed, full-time;Independent contractor, freelancer, or self-employed;Student, part-time",,0–1 ano,C,,,30k – 60k
19864,Pakistan,Graduação,2.0,"Developer, full-stack",Ada,Ada,,,Presencial,2 to 9 employees,,,18-24 years old,"Employed, full-time",Individual contributor,2–4 anos,Ada,,,
19865,Russian Federation,Graduação,24.0,"Developer, desktop or enterprise applications",C#;C++;HTML/CSS;SQL,C#;SQL,Microsoft SQL Server;SQLite,,Presencial,2 to 9 employees,,,45-54 years old,"Employed, full-time",,20+ anos,C#,,,
19866,Netherlands,Faculdade incompleta,4.0,"Developer, full-stack",Go;HTML/CSS;Java;JavaScript;Kotlin;Lua;PHP;SQL;TypeScript,C;C++;Dart;Go;HTML/CSS;JavaScript;Lua;Rust;SQL;Swift;TypeScript,Firebase Realtime Database;H2;MariaDB;MySQL;SQLite,Amazon Web Services (AWS);Cloudflare;Firebase;Netlify,Híbrido,10 to 19 employees,,,18-24 years old,"Employed, full-time;Independent contractor, freelancer, or self-employed",,2–4 anos,Go,,,
19867,Greece,Graduação,5.0,"Developer, full-stack",Java;JavaScript;PHP;SQL,Go;Java;JavaScript;Kotlin;Python;SQL;TypeScript,MariaDB;MySQL;Oracle;Redis,Amazon Web Services (AWS);Fly.io;OVH,Híbrido,100 to 499 employees,6.0,28616.0,25-34 years old,"Employed, full-time;Independent contractor, freelancer, or self-employed",Individual contributor,5–9 anos,Java,6.0,,< 30k
19868,United Arab Emirates,Graduação,16.0,Project manager,Assembly;C;C#;C++;HTML/CSS;Java;JavaScript;Python;SQL,C#;Kotlin;Python;SQL,Microsoft Access;Microsoft SQL Server;MongoDB;MySQL;Oracle;PostgreSQL;SQLite,Microsoft Azure;VMware,Híbrido,20 to 99 employees,,,35-44 years old,"Employed, full-time",,10–19 anos,Assembly,,,
19869,India,Graduação,0.5,"Developer, front-end",HTML/CSS;JavaScript;Kotlin;Python;SQL,Kotlin;Python;SQL,MongoDB;MySQL;PostgreSQL,,Presencial,"10,000 or more employees",,4187.0,18-24 years old,"Employed, full-time",,0–1 ano,HTML/CSS,,,< 30k
19870,Ukraine,Mestrado,3.0,Data scientist or machine learning specialist,Python;Swift,Python;Swift,MongoDB;MySQL,,Remoto,20 to 99 employees,8.0,25000.0,25-34 years old,"Independent contractor, freelancer, or self-employed",Individual contributor,2–4 anos,Python,8.0,,< 30k
19871,"Iran, Islamic Republic of...",Mestrado,2.0,"Developer, back-end",C#;SQL,C#;Rust;SQL,Microsoft SQL Server,,Presencial,20 to 99 employees,6.0,3516.0,25-34 years old,"Employed, full-time",Individual contributor,2–4 anos,C#,6.0,,< 30k
19872,South Korea,Faculdade incompleta,4.0,"Developer, mobile",C;C#;C++;Java;JavaScript;Objective-C;Python;R;Ruby;Rust,C;C#;C++;Dart;Go;Java;JavaScript;Kotlin;Python;Ruby;Rust;Swift;TypeScript,Microsoft Access;MongoDB;MySQL;Oracle;SQLite,,Presencial,"1,000 to 4,999 employees",,32640.0,25-34 years old,"Employed, full-time",,2–4 anos,C,,,30k – 60k
19873,Japan,Pós-graduação/Doutorado,,Other (please specify):,Haskell;Rust,Clojure;Haskell;Rust;Scala,,,Presencial,,,,25-34 years old,"Employed, full-time",,,Haskell,,,
19874,United Kingdom of Great Britain and Northern Ireland,Graduação,20.0,"Developer, full-stack",C#;HTML/CSS;JavaScript;SQL,C#;C++;HTML/CSS;JavaScript;Rust;SQL,Cosmos DB;Microsoft SQL Server,Microsoft Azure,Remoto,20 to 99 employees,8.0,114649.0,45-54 years old,"Employed, full-time",Individual contributor,20+ anos,C#,8.0,,100k – 150k
19875,Germany,Ensino Fundamental,,,Elixir;Erlang;JavaScript;PHP;Ruby,Elixir,Elasticsearch;MySQL;PostgreSQL;Solr;SQLite,Amazon Web Services (AWS);Cloudflare;Hetzner;OVH,Híbrido,,,,35-44 years old,"Employed, full-time",,,Elixir,,,
19876,Serbia,Faculdade incompleta,7.0,"Developer, back-end",Bash/Shell (all shells);C#;HTML/CSS;Java;JavaScript;Ruby;SQL;TypeScript,C#;HTML/CSS;JavaScript;PowerShell;SQL;TypeScript,MariaDB;Microsoft SQL Server;MongoDB;MySQL;Neo4J;Redis,Firebase;Google Cloud;Heroku,Híbrido,100 to 499 employees,,,25-34 years old,"Employed, full-time",,5–9 anos,Bash/Shell (all shells),,,
19877,Australia,Técnico/Associado,18.0,"Developer, front-end",HTML/CSS;JavaScript;PHP;TypeScript,Dart;Go;HTML/CSS;JavaScript;PHP;TypeScript,Cloud Firestore;MariaDB;Neo4J;SQLite,Amazon Web Services (AWS);Firebase;Heroku;Netlify;Vercel,Híbrido,100 to 499 employees,8.0,125525.0,35-44 years old,"Employed, full-time",People manager,10–19 anos,HTML/CSS,8.0,,100k – 150k
19878,Pakistan,Graduação,15.0,Other (please specify):,Bash/Shell (all shells);C#;HTML/CSS;JavaScript;PHP;PowerShell,Bash/Shell (all shells);C#;HTML/CSS;JavaScript;PHP,InfluxDB;MySQL;SQLite,Amazon Web Services (AWS);Cloudflare;Digital Ocean;Google Cloud;Microsoft Azure,Presencial,100 to 499 employees,8.0,,35-44 years old,"Employed, full-time",People manager,10–19 anos,Bash/Shell (all shells),8.0,,
19879,Ukraine,Mestrado,12.0,"Developer, back-end",Bash/Shell (all shells);C++;Go;HTML/CSS;Java;JavaScript;PHP;SQL,Bash/Shell (all shells);C++;Go;HTML/CSS;JavaScript;PHP;SQL,Elasticsearch;MariaDB;MongoDB;MySQL;SQLite,Amazon Web Services (AWS),Remoto,20 to 99 employees,7.0,37026.0,35-44 years old,"Employed, full-time",Individual contributor,10–19 anos,Bash/Shell (all shells),7.0,,30k – 60k
19880,Malaysia,Graduação,10.0,"Developer, full-stack",C#;HTML/CSS;JavaScript;SQL,C#;HTML/CSS;JavaScript;SQL,Microsoft SQL Server,,Remoto,2 to 9 employees,,3178.0,35-44 years old,"Employed, full-time",,10–19 anos,C#,,,< 30k
19881,Italy,Ensino Médio,25.0,Other (please specify):,C#;HTML/CSS;Java;PowerShell;Python;SQL;TypeScript;VBA;Visual Basic (.Net),,Firebird;MariaDB;Microsoft Access;Microsoft SQL Server;MySQL;PostgreSQL;SQLite,,Híbrido,"Just me - I am a freelancer, sole proprietor, etc.",,,45-54 years old,"Independent contractor, freelancer, or self-employed",,20+ anos,C#,,,
19882,Greece,Mestrado,20.0,"Developer, full-stack",C#;HTML/CSS;JavaScript;SQL,C#;HTML/CSS;JavaScript;Python;SQL;TypeScript,Microsoft SQL Server,Microsoft Azure,Remoto,20 to 99 employees,7.0,,35-44 years old,"Independent contractor, freelancer, or self-employed",Individual contributor,20+ anos,C#,7.0,,
19883,Taiwan,Graduação,5.0,"Developer, full-stack",Bash/Shell (all shells);C++;Go;JavaScript;Python;SQL;TypeScript,Bash/Shell (all shells);C++;JavaScript;Python;SQL;TypeScript,MongoDB;MySQL;PostgreSQL;Redis;SQLite,Amazon Web Services (AWS);Google Cloud,Presencial,20 to 99 employees,,37061.0,25-34 years old,"Employed, full-time",,5–9 anos,Bash/Shell (all shells),,,30k – 60k
19884,Sweden,Graduação,4.0,"Developer, full-stack",C#;C++;Dart;HTML/CSS;JavaScript;Python;Rust;SQL;TypeScript,C++;Dart;HTML/CSS;Python;Rust;SQL;TypeScript,Microsoft SQL Server;PostgreSQL;SQLite,Digital Ocean;Microsoft Azure,Presencial,100 to 499 employees,6.0,,25-34 years old,"Employed, full-time",Individual contributor,2–4 anos,C#,6.0,,
19885,India,Graduação,11.0,"Developer, full-stack",HTML/CSS;Python,,,Amazon Web Services (AWS),Remoto,100 to 499 employees,10.0,,25-34 years old,"Employed, full-time;Independent contractor, freelancer, or self-employed",People manager,10–19 anos,HTML/CSS,10.0,,
19886,Italy,Ensino Médio,35.0,"Developer, back-end",HTML/CSS;JavaScript;SQL,HTML/CSS;JavaScript;SQL,Oracle;PostgreSQL,Amazon Web Services (AWS);Heroku;OpenShift,Remoto,2 to 9 employees,8.0,21481.0,55-64 years old,"Employed, full-time",Individual contributor,20+ anos,HTML/CSS,8.0,,< 30k
19887,Spain,Graduação,22.0,Engineering manager,Bash/Shell (all shells);C;C++;HTML/CSS;Java;JavaScript;MATLAB;PHP;SQL;TypeScript;VBA,Bash/Shell (all shells);C;C++;Go;HTML/CSS;Java;JavaScript;PHP;SQL,Elasticsearch;H2;MariaDB;Microsoft SQL Server;PostgreSQL;SQLite,Amazon Web Services (AWS);Google Cloud;Microsoft Azure,Presencial,I don’t know,6.0,,45-54 years old,"Employed, full-time;Independent contractor, freelancer, or self-employed",People manager,20+ anos,Bash/Shell (all shells),6.0,,
19889,Italy,Mestrado,10.0,Engineering manager,Bash/Shell (all shells);C#;HTML/CSS;JavaScript;PHP;Python;TypeScript,Bash/Shell (all shells);HTML/CSS;JavaScript;Python;TypeScript,MongoDB;MySQL;RavenDB;Redis,Amazon Web Services (AWS),Híbrido,20 to 99 employees,,45111.0,25-34 years old,"Employed, full-time",,10–19 anos,Bash/Shell (all shells),,,30k – 60k
19891,Norway,Mestrado,6.0,"Developer, full-stack",Bash/Shell (all shells);C#;HTML/CSS;PowerShell;SQL,Bash/Shell (all shells);C;C#;PowerShell;Prolog,Microsoft SQL Server;PostgreSQL;Redis;SQLite,Microsoft Azure,Remoto,2 to 9 employees,8.0,102950.0,25-34 years old,"Employed, full-time",Individual contributor,5–9 anos,Bash/Shell (all shells),8.0,,100k – 150k
19892,Indonesia,Graduação,4.0,"Developer, full-stack",JavaScript;TypeScript,Dart;Go;Visual Basic (.Net),MariaDB;MySQL;PostgreSQL,Cloudflare,Híbrido,"Just me - I am a freelancer, sole proprietor, etc.",10.0,2208.0,25-34 years old,"Employed, full-time",Individual contributor,2–4 anos,JavaScript,10.0,,< 30k
19893,India,Graduação,7.0,"Developer, back-end",Java;Kotlin;Python;Scala;SQL,Java;Kotlin;SQL,BigQuery;Couch DB;MySQL;PostgreSQL,Amazon Web Services (AWS);Google Cloud,Remoto,20 to 99 employees,9.0,,25-34 years old,"Employed, full-time",Individual contributor,5–9 anos,Java,9.0,,
19894,Belarus,Faculdade incompleta,2.0,"Developer, back-end",C#;HTML/CSS;JavaScript;SQL,C#;HTML/CSS;JavaScript;SQL,Microsoft SQL Server;PostgreSQL,,Híbrido,10 to 19 employees,,800.0,25-34 years old,"Employed, full-time",,2–4 anos,C#,,,< 30k
19895,Ukraine,Graduação,4.0,"Developer, back-end",JavaScript;Python,Go;JavaScript;Python,PostgreSQL;Redis,Amazon Web Services (AWS);Cloudflare;Digital Ocean,Remoto,20 to 99 employees,6.0,829.0,25-34 years old,"Employed, full-time",Individual contributor,2–4 anos,JavaScript,6.0,,< 30k
19896,Turkey,Ensino Médio,1.0,"Developer, game or graphics",C#;C++;Java;Rust,C#;C++;Java,,,,,,,Under 18 years old,"Not employed, and not looking for work;Student, part-time",,0–1 ano,C#,,,
19897,Israel,Mestrado,8.0,"Developer, back-end",Scala;SQL,Go;Kotlin;Scala;SQL,PostgreSQL;Redis;Snowflake,Amazon Web Services (AWS),Híbrido,"1,000 to 4,999 employees",,132000.0,35-44 years old,"Employed, full-time",,5–9 anos,Scala,,,100k – 150k
19898,Belgium,Mestrado,18.0,"Developer, back-end",Go;Rust,Rust,,Google Cloud,Híbrido,"10,000 or more employees",8.0,96666.0,35-44 years old,"Employed, full-time",Individual contributor,10–19 anos,Go,8.0,,60k – 100k
19899,Germany,Faculdade incompleta,25.0,"Developer, full-stack",Bash/Shell (all shells);HTML/CSS;Java;JavaScript;Perl;PHP;PowerShell;SQL,Bash/Shell (all shells);HTML/CSS;Java;JavaScript;SQL,Elasticsearch;MariaDB;MongoDB;PostgreSQL,Cloudflare;Colocation;VMware,Presencial,100 to 499 employees,,,45-54 years old,"Employed, full-time",,20+ anos,Bash/Shell (all shells),,,
19900,Sweden,Mestrado,4.0,Other (please specify):,C;C#;Fortran;MATLAB;Python;VBA,C;C++;HTML/CSS;JavaScript;MicroPython;Python;SQL;TypeScript,,,Híbrido,10 to 19 employees,6.0,57946.0,25-34 years old,"Employed, full-time",Individual contributor,2–4 anos,C,6.0,,30k – 60k
19902,Hungary,Graduação,26.0,"Developer, back-end",C#;Java;Kotlin;PowerShell;SQL,C#;F#;JavaScript;Kotlin;SQL,Elasticsearch;Firebase Realtime Database;Microsoft SQL Server;PostgreSQL,Amazon Web Services (AWS);Digital Ocean;Google Cloud;Microsoft Azure,Remoto,20 to 99 employees,7.0,73917.0,35-44 years old,"Employed, full-time",Individual contributor,20+ anos,C#,7.0,,60k – 100k
19903,Taiwan,Mestrado,19.0,"Developer, desktop or enterprise applications",C#;HTML/CSS;JavaScript,C#;HTML/CSS;JavaScript;Kotlin;Python,Microsoft SQL Server;MySQL;Oracle,Microsoft Azure,Híbrido,20 to 99 employees,,,35-44 years old,"Employed, full-time",,10–19 anos,C#,,,
19904,India,Mestrado,25.0,"Developer, full-stack",JavaScript;TypeScript,Dart;Go;Rust;TypeScript,MongoDB,Amazon Web Services (AWS);Firebase,Híbrido,100 to 499 employees,9.0,47854.0,45-54 years old,"Employed, full-time",Individual contributor,20+ anos,JavaScript,9.0,,30k – 60k
19905,Malaysia,Faculdade incompleta,17.0,"Developer, full-stack",C#;HTML/CSS;Java;JavaScript;PHP;Python;SQL;VBA;Visual Basic (.Net),C#,Microsoft SQL Server;MySQL;SQLite,Firebase;Google Cloud;Managed Hosting;Microsoft Azure,Híbrido,100 to 499 employees,3.0,2543.0,35-44 years old,"Employed, full-time",Individual contributor,10–19 anos,C#,3.0,,< 30k
19906,Spain,Pós-graduação/Doutorado,1.0,"Developer, mobile",Bash/Shell (all shells);C#;HTML/CSS;JavaScript;PowerShell;Python;SQL;TypeScript,Bash/Shell (all shells);C#;HTML/CSS;PowerShell;SQL;TypeScript,PostgreSQL;SQLite,Firebase,Presencial,"1,000 to 4,999 employees",,,18-24 years old,"Employed, full-time",,0–1 ano,Bash/Shell (all shells),,,
19907,Greece,Mestrado,10.0,"Developer, full-stack",C#;C++;Elixir;Go,Elixir;Go,Microsoft SQL Server;MongoDB;MySQL;PostgreSQL;SQLite;Supabase,Amazon Web Services (AWS);Heroku,Presencial,"1,000 to 4,999 employees",7.0,33296.0,35-44 years old,"Employed, full-time",Individual contributor,10–19 anos,C#,7.0,,30k – 60k
19908,Germany,Graduação,20.0,"Developer, full-stack",JavaScript;SQL;TypeScript,JavaScript;Python;SQL;TypeScript;Zig,Elasticsearch;Microsoft SQL Server;PostgreSQL;Redis;SQLite,Hetzner;Microsoft Azure,Remoto,"Just me - I am a freelancer, sole proprietor, etc.",,257775.0,35-44 years old,"Independent contractor, freelancer, or self-employed",,20+ anos,JavaScript,,,> 150k
